"value" "x" "y" "rbio1" "rbio2" "rbio3" "rbio4" "rbio5" "rbio6" "rbio7" "rbio8" "rbio9" "rbio10" "rbio11" "rbio12" "rbio13" "rbio14" "rbio15" "rbio16" "rbio17" "rbio18" "rbio19" "ph" "nitrogen" "soc"
"23" 23 4850000 5350000 0.104500651842918 5.7394073155739 23.0796415419868 687.653065235258 13.666292793589 -10.853607761139 24.5199005547279 4.67195868212497 -2.2672213218584 9.34263191166679 -7.11092601920657 586.472641864607 66.8864740901518 34.7162748919299 21.9403367502019 185.227854548453 109.985360640565 159.997538974027 135.269485212774 20.8781621121555 465.003700841368 1483.59125122843
"24" 24 4950000 5350000 -0.740473049511986 6.3887130191497 23.1620314745131 763.456498378591 14.2450549250983 -13.1163157914638 27.3613707165621 7.19780668242315 -5.21293206708754 9.40097448538592 -9.01460511067542 533.286870435932 63.0888662185862 30.7694217414104 25.3617254081664 175.603035760585 96.1678078516293 165.093370492942 113.033777939243 32.2739584787052 510.167377136416 1443.79928573718
"25" 25 5050000 5350000 -0.64513366932938 6.23754685792903 22.4198483160247 780.315138033902 14.252626623596 -13.4414668925594 27.6940935161553 8.6203787312122 -5.69547198776412 9.58055254657796 -9.33865161566985 514.099670241497 61.5320220461577 28.660386744742 27.5766287697919 173.682241971658 89.07800774987 170.65997584201 104.230338962465 28.1239231702208 542.448707667504 1429.59495532685
"54" 54 4650000 5250000 1.77409810359382 5.17010267947093 23.1153817512985 633.947164580639 13.7998409509697 -8.56739360216129 22.367234553131 3.2957569026992 2.33612821614087 10.2076038393291 -5.0372550680582 816.241514220331 100.777471215949 43.2070892107056 25.6894523812611 262.207251237868 139.847685069224 193.146024319222 221.237331057902 10.4126911829456 542.035995217495 1504.15078358995
"55" 55 4750000 5250000 0.249813322334163 5.84358393705571 23.1438272696228 712.388411109468 13.9222811231425 -11.1624101688522 25.0846912919947 5.30883699799885 -1.93000711848126 9.70076597028268 -7.41443506791368 640.126071798492 79.5244567752391 35.4744784346808 26.2810697255541 209.981503885781 113.242930595668 177.747267864808 156.246860571317 27.9054668404412 487.929665149466 1443.99464926291
"56" 56 4850000 5250000 -1.21660629420448 6.95317324547225 23.6661195790669 820.831508773006 14.6955120886902 -14.530374093002 29.2258861816921 7.54819890913352 -5.94721746077117 9.63621339072073 -10.2181712405617 525.716661680767 68.8906848892612 29.2362744467908 30.8843561026395 183.742592292449 92.2954391192208 173.44872214917 108.658731492738 42.8011033491094 460.024583789788 1339.86180809198
"57" 57 4950000 5250000 -1.59296971615378 7.5772023031768 23.4951400778522 897.875627972748 15.60075070493 -16.6545361337394 32.2552868386694 9.4712487456965 -7.94163410215398 10.1545549249897 -11.78961717402 475.683824168973 65.077049391914 24.5877674630653 35.5848595041879 176.792458236621 77.5009775329595 173.868800889953 88.4782907564529 46.6038349940703 486.391676943129 1290.78262845786
"58" 58 5050000 5250000 -1.03390791474378 7.20976604628941 22.5921396121344 893.690332960738 15.6306982713957 -16.2272668754822 31.8579651468779 10.4498633826504 -7.54493827621055 10.5117452995775 -11.4129996307734 478.840853197669 64.1294896939253 24.0983769210036 35.3703781608488 178.932634779532 75.559432629714 178.764900199579 87.8438781789215 41.3328152845491 520.683700674778 1311.72637228316
"59" 59 5150000 5250000 -0.523039021396245 6.65177125084839 21.9174071988605 861.021835670336 15.0339109456336 -15.2543285513552 30.2882394969888 10.4436734810577 -6.69960540419055 10.4838085161561 -10.5832484378145 504.916043180073 66.2297294231363 25.6419941247869 34.2869038809292 186.267181539179 79.821802719201 186.112865379465 92.5749741873322 36.2789587209203 554.879939546657 1339.80264427612
"86" 86 4550000 5150000 2.59241692173916 4.85669440556032 23.8395730185955 582.339710513671 13.472733787176 -7.06882432099253 20.5415581081685 1.70333542705359 5.09860614972522 10.3149528472319 -3.67609300339941 1121.48787985511 144.505271109751 56.8023864500709 27.6885163568119 369.001520205454 185.61646039403 226.262162795668 309.122545879371 10.3508700144329 806.528648779584 1658.48249887565
