"tk2" "tk3" "tk4" "value" "fk2" "fk3" "fk4"
"504" 1 1 2 "504" 1 2 2
"505" 1 1 2 "505" 1 2 2
"506" 1 1 2 "506" 1 2 2
"511" 1 1 1 "511" 1 1 1
"512" 1 1 1 "512" 1 1 1
"513" 1 1 2 "513" 1 2 2
"514" 1 1 1 "514" 1 1 1
"515" 1 1 1 "515" 1 1 1
"516" 1 1 1 "516" 1 1 1
"517" 1 1 1 "517" 1 1 1
"518" 1 1 1 "518" 1 1 1
"520" 1 1 1 "520" 1 1 1
"521" 1 1 1 "521" 1 1 1
"522" 1 1 1 "522" 1 1 1
"523" 1 1 1 "523" 1 1 1
"524" 1 1 1 "524" 1 1 1
"525" 1 1 1 "525" 1 1 1
"535" 1 1 2 "535" 1 2 2
"536" 1 1 2 "536" 1 2 2
"537" 1 1 2 "537" 1 2 2
"538" 1 1 2 "538" 1 2 3
"545" 1 1 1 "545" 1 2 3
"546" 1 1 2 "546" 1 2 2
"547" 1 1 1 "547" 1 1 1
"548" 1 1 1 "548" 1 1 1
"549" 1 1 1 "549" 1 1 1
"550" 1 1 1 "550" 1 1 1
"551" 1 1 1 "551" 1 1 1
"552" 1 1 1 "552" 1 1 1
"553" 1 1 1 "553" 1 1 1
"554" 1 1 1 "554" 1 1 1
"555" 1 1 1 "555" 1 1 1
"556" 1 1 1 "556" 1 1 1
"557" 1 1 1 "557" 1 1 1
"558" 1 1 1 "558" 1 1 1
"559" 1 1 1 "559" 1 1 1
"566" 1 1 2 "566" 1 2 2
"567" 1 1 2 "567" 1 2 2
"568" 1 1 2 "568" 1 2 2
"569" 1 1 2 "569" 1 2 2
"570" 1 1 2 "570" 1 2 2
"571" 1 1 2 "571" 1 2 2
"578" 1 1 2 "578" 1 2 2
"579" 1 1 1 "579" 1 2 3
"580" 1 1 1 "580" 1 2 3
"581" 1 1 1 "581" 1 1 1
"582" 1 1 1 "582" 1 1 1
"586" 1 1 1 "586" 1 1 1
"587" 1 1 1 "587" 1 1 1
"588" 1 1 1 "588" 1 1 1
"589" 1 1 1 "589" 1 1 1
"590" 1 1 1 "590" 1 1 1
"591" 1 1 1 "591" 1 1 1
"592" 1 1 1 "592" 1 1 1
"593" 1 1 1 "593" 1 1 1
